,N,Integral,Error
0,32,15.273568446819144,0.16544228874835554
1,64,15.358333444832786,0.08067729073471419
2,128,15.414950787330282,0.02405994823721791
3,256,15.44856276044549,0.009552024877990561
4,512,15.475459008861636,0.0364482732941358
5,1024,15.465627018774862,0.0266162832073622
6,2048,15.444711199615973,0.005700464048473464
7,4096,15.43892979957144,8.093599605984991e-05
8,8192,15.439199148469873,0.00018841290237325836
9,16384,15.431946387806601,0.007064347760898926
10,32768,15.433611879113135,0.0053988564543647755
11,65536,15.434911734914847,0.0040990006526531175
12,131072,15.438889973358219,0.0001207622092813665
13,262144,15.435926991922084,0.0030837436454156375
14,524288,15.437085542187242,0.0019251933802575394
15,1048576,15.438140700904063,0.0008700346634373801
