,N,Integral,Error
0,32,6.148893969352085,0.47177304892872485
1,64,5.5187631065174125,0.1583578139059476
2,128,5.906892211823229,0.22977129139986907
3,256,5.638064611933309,0.03905630849005082
4,512,5.596683267359136,0.0804376530642239
5,1024,5.661955615017146,0.015165305406213747
6,2048,5.747969202710223,0.07084828228686302
7,4096,5.643785797645556,0.03333512277780404
8,8192,5.707617081841028,0.030496161417667977
9,16384,5.700840964705362,0.02372004428200203
10,32768,5.668748815855342,0.008372104568017846
11,65536,5.683852533443343,0.006731613019982596
12,131072,5.67824386155632,0.0011229411329596317
13,262144,5.680170278799813,0.0030493583764528154
14,524288,5.673709401240899,0.003411519182461298
15,1048576,5.676345573762461,0.0007753466608990678
