x,y
-47.0,37.0
59.0,55.0
39.0,-40.0
62.0,-20.0
0.0,5.0
-14.0,70.0
13.0,-56.0
31.0,-8.0
52.0,51.0
64.0,25.0
-17.0,37.0
15.0,-11.0
-14.0,-38.0
18.0,-6.0
38.0,9.0
47.0,57.0
19.0,-5.0
32.0,-66.0
-78.0,62.0
-66.0,36.0
-20.0,3.0
35.0,-61.0
52.0,28.0
25.0,11.0
-9.0,18.0
-19.0,4.0
-7.0,-22.0
-57.0,-23.0
14.0,37.0
-67.0,49.0
27.0,-24.0
59.0,45.0
-56.0,-22.0
84.0,-42.0
21.0,18.0
54.0,-34.0
40.0,31.0
-74.0,9.0
-54.0,24.0
-13.0,25.0
66.0,-60.0
4.0,-35.0
23.0,-22.0
16.0,-61.0
35.0,-48.0
-74.0,45.0
41.0,32.0
-73.0,10.0
-13.0,61.0
73.0,64.0
46.0,-33.0
37.0,-2.0
38.0,-37.0
-17.0,27.0
-79.0,52.0
-5.0,1.0
14.0,14.0
15.0,-21.0
-40.0,43.0
74.0,65.0
-47.0,4.0
67.0,26.0
59.0,22.0
-36.0,13.0
-4.0,2.0
-15.0,72.0
12.0,-54.0
-42.0,-25.0
50.0,58.0
35.0,-71.0
21.0,31.0
-14.0,73.0
-9.0,8.0
-63.0,37.0
16.0,-48.0
22.0,-5.0
68.0,-38.0
-18.0,-41.0
-15.0,-36.0
-17.0,40.0
16.0,37.0
36.0,15.0
15.0,-8.0
-54.0,-22.0
-35.0,-9.0
-16.0,4.0
77.0,52.0
21.0,8.0
-13.0,15.0
-8.0,-19.0
25.0,-22.0
-19.0,-29.0
54.0,41.0
88.0,-46.0
77.0,-56.0
35.0,27.0
14.0,4.0
-48.0,29.0
26.0,-22.0
30.0,-52.0
-70.0,10.0
36.0,28.0
83.0,-40.0
28.0,24.0
75.0,-44.0
-55.0,26.0
-68.0,56.0
52.0,-28.0
-2.0,1.0
44.0,-32.0
58.0,52.0
77.0,65.0
29.0,25.0
-45.0,39.0
-66.0,16.0
-53.0,35.0
53.0,-27.0
-9.0,-2.0
76.0,-44.0
-52.0,36.0
26.0,-45.0
-47.0,-29.0
38.0,-34.0
58.0,-56.0
-30.0,60.0
71.0,-37.0
-16.0,-42.0
27.0,-44.0
34.0,-63.0
-16.0,79.0
-9.0,-25.0
-17.0,-29.0
42.0,57.0
-40.0,-13.0
37.0,-22.0
36.0,-18.0
-67.0,6.0
-48.0,19.0
36.0,18.0
28.0,14.0
47.0,27.0
-76.0,42.0
69.0,51.0
-75.0,43.0
-44.0,30.0
75.0,67.0
35.0,-6.0
55.0,-28.0
53.0,48.0
48.0,-31.0
-80.0,49.0
40.0,-35.0
-45.0,6.0
75.0,-41.0
52.0,-25.0
25.0,-42.0
-1.0,4.0
50.0,51.0
-44.0,7.0
14.0,-52.0
12.0,24.0
59.0,-44.0
23.0,33.0
-31.0,62.0
-11.0,40.0
-38.0,23.0
-59.0,0.0
-18.0,1.0
28.0,-32.0
-39.0,-22.0
-7.0,10.0
18.0,-46.0
45.0,57.0
-49.0,13.0
63.0,-38.0
-25.0,-1.0
-14.0,7.0
46.0,58.0
-68.0,36.0
52.0,-48.0
49.0,63.0
-45.0,19.0
-52.0,-20.0
-41.0,-11.0
25.0,-29.0
-35.0,69.0
-42.0,30.0
32.0,-21.0
-11.0,17.0
-51.0,-19.0
-7.0,-13.0
-26.0,10.0
-40.0,75.0
-6.0,-12.0
5.0,-3.0
-76.0,9.0
-64.0,-17.0
62.0,-21.0
-76.0,45.0
30.0,26.0
-43.0,42.0
-63.0,-16.0
51.0,-31.0
12.0,14.0
-43.0,78.0
-23.0,56.0
16.0,-16.0
-38.0,13.0
35.0,-3.0
53.0,51.0
64.0,60.0
-37.0,14.0
-65.0,-5.0
40.0,-32.0
33.0,-71.0
-16.0,36.0
-10.0,-33.0
-64.0,-4.0
-44.0,-26.0
48.0,57.0
66.0,-38.0
-77.0,62.0
-11.0,7.0
-38.0,-10.0
36.0,-61.0
-48.0,-24.0
-7.0,-23.0
34.0,15.0
53.0,28.0
13.0,-8.0
-37.0,-9.0
-32.0,69.0
-26.0,0.0
-61.0,42.0
26.0,10.0
49.0,30.0
-54.0,23.0
51.0,-41.0
-13.0,60.0
60.0,44.0
12.0,4.0
4.0,0.0
44.0,36.0
22.0,17.0
-73.0,45.0
14.0,13.0
45.0,37.0
38.0,-1.0
58.0,-24.0
42.0,-32.0
19.0,-16.0
39.0,-38.0
-16.0,26.0
30.0,-7.0
-78.0,51.0
74.0,-44.0
-8.0,3.0
20.0,-15.0
13.0,-54.0
-77.0,52.0
-61.0,-4.0
56.0,23.0
9.0,-52.0
22.0,30.0
-39.0,20.0
-33.0,-49.0
27.0,-35.0
38.0,11.0
-16.0,3.0
-53.0,-28.0
62.0,-41.0
7.0,23.0
-3.0,58.0
32.0,-64.0
-20.0,5.0
-62.0,45.0
25.0,13.0
-2.0,59.0
-63.0,49.0
-27.0,2.0
66.0,50.0
26.0,-23.0
55.0,40.0
-67.0,51.0
-70.0,45.0
84.0,-40.0
40.0,33.0
-74.0,11.0
-14.0,62.0
-13.0,27.0
