x,y
-14.0,-15.0
27.0,-14.0
-47.0,37.0
25.0,-87.0
44.0,-74.0
-144.0,104.0
-72.0,-20.0
-26.0,-133.0
106.0,-14.0
-132.0,114.0
-19.0,-9.0
-6.0,-70.0
99.0,-17.0
-75.0,96.0
-3.0,-65.0
-103.0,-3.0
-40.0,53.0
139.0,55.0
-13.0,-73.0
-68.0,-9.0
78.0,45.0
-129.0,-19.0
64.0,-119.0
-79.0,98.0
36.0,48.0
55.0,61.0
-52.0,-65.0
13.0,101.0
-86.0,58.0
48.0,58.0
92.0,101.0
18.0,115.0
36.0,-60.0
-19.0,4.0
25.0,47.0
-75.0,109.0
-122.0,-3.0
-103.0,10.0
98.0,0.0
-133.0,104.0
15.0,2.0
-40.0,66.0
54.0,-70.0
59.0,45.0
4.0,109.0
45.0,-119.0
-129.0,-6.0
-24.0,10.0
91.0,-3.0
-107.0,12.0
-8.0,-9.0
-89.0,66.0
131.0,69.0
79.0,-121.0
84.0,-6.0
-18.0,-54.0
1.0,-41.0
73.0,64.0
-129.0,115.0
91.0,118.0
-71.0,56.0
3.0,5.0
77.0,-46.0
-80.0,7.0
61.0,-54.0
-22.0,-52.0
19.0,-51.0
-4.0,2.0
-45.0,-36.0
-133.0,117.0
87.0,120.0
161.0,69.0
54.0,-57.0
73.0,-44.0
119.0,72.0
17.0,61.0
77.0,75.0
75.0,2.0
-140.0,77.0
80.0,80.0
47.0,-97.0
-127.0,16.0
52.0,18.0
179.0,59.0
-36.0,-95.0
-124.0,21.0
65.0,-43.0
82.0,126.0
156.0,75.0
-92.0,10.0
-18.0,-41.0
68.0,-38.0
-115.0,26.0
-148.0,78.0
91.0,131.0
-2.0,-97.0
-1.0,-97.0
58.0,-46.0
61.0,-41.0
-39.0,21.0
88.0,62.0
126.0,88.0
-55.0,13.0
19.0,-38.0
74.0,-102.0
-91.0,90.0
65.0,78.0
-9.0,-100.0
-97.0,16.0
32.0,-99.0
-92.0,131.0
68.0,83.0
35.0,-94.0
-34.0,72.0
40.0,21.0
26.0,86.0
100.0,72.0
141.0,73.0
86.0,137.0
-21.0,11.0
53.0,-40.0
-67.0,-105.0
72.0,-27.0
-104.0,13.0
-146.0,16.0
14.0,-32.0
-41.0,32.0
-127.0,29.0
19.0,83.0
0.0,70.0
-143.0,21.0
-97.0,137.0
137.0,75.0
-56.0,-91.0
-23.0,-143.0
-106.0,88.0
-32.0,37.0
-67.0,16.0
62.0,-99.0
72.0,94.0
-35.0,-32.0
130.0,72.0
-63.0,-94.0
-58.0,21.0
28.0,24.0
-60.0,-89.0
-41.0,-76.0
41.0,-37.0
-28.0,-137.0
32.0,-86.0
-23.0,-22.0
-37.0,80.0
-111.0,94.0
21.0,21.0
-53.0,35.0
-7.0,-78.0
-136.0,37.0
-1.0,37.0
-2.0,37.0
125.0,78.0
97.0,-21.0
-79.0,19.0
-46.0,-33.0
50.0,-96.0
-146.0,29.0
27.0,-80.0
13.0,22.0
-75.0,-91.0
71.0,-37.0
90.0,-24.0
-81.0,94.0
-54.0,-32.0
6.0,-18.0
9.0,24.0
-116.0,-8.0
-70.0,108.0
166.0,92.0
-49.0,-62.0
-63.0,40.0
78.0,-21.0
83.0,94.0
50.0,-83.0
-5.0,-19.0
-47.0,-16.0
66.0,-139.0
48.0,-8.0
-81.0,107.0
-128.0,-5.0
-13.0,-18.0
-49.0,59.0
27.0,54.0
-25.0,-136.0
-6.0,-123.0
