x,y
-2,14
47,-2
27,-5
-10,10
-11,11
-18,-28
52,-6
-17,-29
-7,-28
-18,-19
-16,-22
-17,-20
-21,-36
25,-5
8,9
-13,-20
29,-5
40,-5
-23,-34
-21,-15
-4,1
-2,-2
-1,-1
-14,-22
-19,-18
-22,-35
45,-6
53,-2
36,0
-10,12
-6,3
-24,-33
-8,-15
-15,-21
25,-3
32,-4
46,-5
-9,4
-8,3
13,1
15,-1
35,1
38,0
40,-3
-2,-9
31,-6
53,-9
-21,-13
-22,-33
-31,-36
55,-3
45,-4
-9,-30
-26,-37
17,-1
-18,-24
-16,-27
-17,-25
3,8
-7,-15
0,0
43,-2
46,-3
-5,13
0,9
24,-6
26,-9
-8,5
-11,-28
-13,-16
-11,-19
35,3
-19,-32
-25,-36
1,10
-28,-35
53,-7
55,-10
-4,14
34,-2
47,-5
27,-8
-10,7
-6,-11
-9,-28
-18,-31
-8,-29
14,1
17,0
56,-2
-26,-35
51,-5
43,0
24,-4
49,-5
16,-8
-19,-30
-28,-33
15,2
-11,-17
18,-2
-1,-5
-9,11
53,-5
-4,16
-12,12
-10,9
-18,-29
-8,-27
12,6
-26,-33
-24,-36
-15,-24
41,-4
11,4
35,-1
-2,-12
-1,-12
13,7
-10,-16
-4,0
-1,-3
39,-1
16,3
1,14
2,13
34,-7
54,-4
-9,13
-14,-20
37,-1
28,-5
-3,-11
-17,-28
-9,-15
-20,-18
-3,-1
3,14
41,-2
32,-5
9,9
33,-6
-30,-35
24,0
-29,-36
-12,-20
18,-7
-2,-10
10,10
53,-10
-21,-14
-19,-17
34,-5
-6,-14
34,4
-5,-15
37,0
-17,-26
14,7
-5,3
-20,-16
3,16
4,15
-16,-25
24,-7
33,5
-13,-17
35,2
-12,-18
16,-1
-29,-34
48,-4
0,11
-9,8
-7,5
53,-8
-25,-34
31,-2
22,-5
56,-3
23,-6
-6,-12
-5,-13
12,3
14,0
-3,-16
-20,-32
-3,-7
51,-6
5,6
-6,6
-5,5
-20,-14
52,-7
-3,11
44,-1
26,-8
-4,-12
1,2
10,5
35,4
-10,-19
-13,-15
-27,-35
0,13
2,10
-7,7
-9,10
-6,-28
-21,-19
22,-3
-14,-23
17,-8
51,-4
41,-5
52,-5
43,1
-16,-21
35,-3
26,-6
11,6
2,3
-27,-33
0,15
34,-8
-14,-30
-22,-34
3,4
19,-6
-13,-29
-21,-33
10,0
44,2
-30,-36
25,-2
25,-1
2,5
53,-11
40,-2
20,-5
54,-3
-12,10
4,5
-5,2
-20,-17
30,-4
-16,-26
-13,-27
-15,-27
-12,-28
42,-1
-4,-15
42,-2
11,1
10,11
46,-1
11,10
49,-6
-7,4
57,-1
54,-10
-25,-35
20,-3
31,-3
-2,-6
21,-4
6,7
-14,-26
7,6
-5,-14
12,2
-20,-33
-8,-31
-4,15
-1,12
-3,-8
27,-7
-2,12
4,7
47,-4
50,-5
4,16
19,-2
33,-3
44,-3
0,-6
8,7
-10,-29
1,1
9,6
2,0
57,0
-3,13
39,-6
2,9
49,-4
-8,8
40,-7
-1,-4
7,8
