x,y
-14,-15
-28,50
19,-18
-56,-12
30,-9
-24,20
63,25
-63,-51
90,42
83,3
10,-67
110,20
94,12
-55,69
-94,-39
52,15
-42,8
-31,17
-45,82
-11,-5
103,17
-59,-45
95,13
-92,7
-58,-80
-55,-75
-69,-10
-109,-46
64,25
37,8
-90,-33
16,-15
-98,-37
2,50
-70,-55
-5,11
-15,-3
-68,-9
59,32
38,9
97,58
98,23
-105,-40
89,54
42,-21
61,-8
-39,54
-60,-69
-95,-27
-35,24
-75,-12
30,4
-83,-16
-60,-33
1,-54
53,-7
72,6
45,-11
-90,-56
-44,60
14,1
74,52
46,-10
-97,-59
3,28
49,-5
-5,24
15,2
-39,31
7,-2
8,-37
-47,27
70,54
71,19
-129,-6
-24,10
-63,-61
91,-3
83,-7
-114,-27
41,-4
-94,-49
-43,33
-42,-1
4,-35
-56,63
-50,-6
105,17
-92,-3
-121,-30
-134,0
44,37
37,-1
2,40
43,41
-65,-50
-52,69
15,-21
-47,4
67,26
-36,13
-65,-14
-64,-49
89,44
-99,-7
101,18
-46,85
-60,-79
5,50
92,55
4,-58
-24,23
-71,-52
94,15
-59,-78
33,5
6,51
45,-21
16,-48
-44,50
-45,85
34,6
93,55
-69,-7
-63,73
15,-8
-99,-30
-107,-34
88,62
-54,-22
-36,26
71,9
-63,-71
77,52
80,57
52,-5
-49,92
44,-9
4,-45
-10,20
-91,-54
10,-1
108,12
81,58
1,-51
14,-32
-41,32
45,-8
-111,-27
89,-1
-119,-31
109,13
-40,33
7,-35
-88,-7
-48,29
-28,7
59,12
-130,-4
-89,-3
11,-65
-64,-59
-37,44
55,41
68,60
-46,75
8,-34
-35,4
11,-29
50,48
62,22
-33,50
-92,-36
33,-5
25,-9
-9,-2
-57,-79
-41,45
7,-58
-48,6
-68,-52
18,-49
-50,82
-56,-78
-65,-47
96,56
88,52
-107,-44
59,25
100,26
-108,-3
11,-52
92,22
58,29
-50,-62
-77,-16
40,11
92,58
-21,1
-3,49
-61,-72
-49,82
-10,10
116,6
3,-51
0,60
-61,-36
66,5
-49,-62
84,59
-58,-25
1,24
111,12
57,41
-37,34
-86,-8
-25,8
-66,-30
-95,-57
-128,-5
-49,59
58,42
104,9
-85,-7
8,41
-127,-4
-61,-59
-115,-30
-124,1
32,-11
-48,-4
-101,-10
-42,76
4,43
72,61
-131,-1
-131,-2
-30,50
-98,-5
-132,2
1,37
-66,-53
-89,0
-96,-39
50,15
68,63
29,-8
-25,21
21,-12
-93,-34
81,2
-71,-10
62,25
-52,3
-92,-33
54,21
-59,-36
-41,12
-100,-37
94,57
102,61
-62,75
-69,-50
-43,88
-42,53
32,2
51,15
-57,-76
43,11
16,-6
-65,-80
35,7
95,58
-18,1
15,-51
-117,-5
-70,-10
17,-5
58,-4
77,9
-105,-31
-46,55
-6,11
-62,-33
-63,-29
-4,57
115,8
2,-49
61,37
-92,-56
-47,95
114,12
51,-8
-58,-58
-67,-27
13,2
4,33
56,43
-97,-50
-46,32
47,-6
-120,-34
-22,-20
6,-38
65,48
111,15
57,44
-56,-13
-96,-49
-64,-17
68,53
110,19
-93,-44
81,-8
-47,72
-128,-1
-55,68
-10,-10
71,64
-63,-16
91,42
-44,-3
84,3
103,16
95,12
-41,2
-54,69
-102,-8
13,-21
53,15
-30,17
16,-16
43,1
35,-3
-38,13
76,-2
17,-51
99,18
46,12
-68,-10
6,-61
-108,-46
-98,-2
17,-15
-98,-1
3,50
-105,-41
97,57
-86,-28
-59,75
-39,53
80,4
-48,84
30,3
-104,-40
-58,76
-47,85
-8,13
60,31
39,8
72,5
43,-22
-79,-11
-58,-68
-113,-4
-55,-63
46,-11
64,37
-98,-25
49,-6
67,48
113,15
6,-48
50,-5
-93,-54
8,-1
-48,97
79,58
71,54
63,50
-31,6
-52,-17
-133,-5
-59,-56
-113,-27
60,44
13,-31
-42,33
4,0
72,18
-55,-86
-30,7
-44,72
2,39
-52,68
-15,-14
-54,-85
5,-36
-117,-25
38,-2
-57,-11
98,12
3,40
89,43
-4,1
-99,-8
-12,-3
101,17
80,-6
-48,74
-24,22
-63,-49
75,1
-106,-11
-55,71
-8,3
6,50
-43,45
-23,23
-91,-32
-31,19
-11,-3
-80,-17
-69,-8
85,50
-90,-31
5,-59
-63,72
-57,-34
17,-48
-111,-5
97,24
86,51
59,34
6,-58
38,11
-76,-11
79,12
-63,-72
-46,97
61,-6
7,23
-107,1
60,-2
-49,91
-3,58
4,-46
-50,-17
-91,-55
-84,-10
-60,-31
-59,-66
-94,-24
-1,59
72,8
45,-9
2,29
109,12
67,15
-68,-30
-130,-5
3,30
90,-2
-48,64
67,51
59,47
70,56
71,21
-129,-4
12,-65
-63,-59
-126,1
-125,-34
-20,-18
-60,-54
-33,49
41,-2
-114,-25
-42,0
-19,-17
-100,-5
87,1
-121,-28
-61,-14
-55,-83
-29,55
-68,-53
56,13
-103,-11
2,42
51,47
-44,75
15,-19
-41,80
-47,6
59,24
11,-53
-65,-12
90,11
-63,-82
-46,87
-106,-44
-60,-77
-95,-35
92,57
-43,12
4,-56
63,30
83,8
-45,51
